Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
°­¹Î±¹,K,2B,-0.1,18,50,45,2,11,2,0,0,13,4,3,0,0,6,1,2,0,0.244,0.292,0.289,0.581,0.27,50.6,-0.17,0.044,0.047,2.37,0.266,-3.1,0.2,0.2,0.4,-3,0,11.8,36.4,9.09,0,0,0,-0.1,1.4
°­¹ÎÈ£,»ï,C,3.86,123,462,406,55,118,22,0,18,194,67,45,4,4,53,18,0,7,0.291,0.362,0.478,0.839,0.38,123.6,1.49,0.187,0.071,6.19,0.376,13.2,0.2,8.1,8.3,11.7,0.038043478,20.1,33.3,5.56,0,0,-0.1,-1.6,1.1
°­¹éÈ£,K,1B,6.35,142,627,516,76,179,40,1,16,269,102,103,0,10,85,7,0,8,0.347,0.45,0.521,0.971,0.443,165.5,5.78,0.174,0.103,9.78,0.439,50.3,-6.5,-10.8,-17.2,43,0.05,20,48.3,6.62,10,5,-0.4,-0.5,3.7
°­½ÂÈ£,µÎ,2B,0.94,113,340,301,47,72,16,2,7,113,37,22,6,1,78,8,8,3,0.239,0.301,0.375,0.677,0.307,81.8,-0.93,0.136,0.062,3.5,0.313,-7.7,2.3,1.1,3.4,-3.5,0.025423729,33.9,53,4.55,8,2,0.7,1.2,5.4
°­Áø¼º,N,1B,0.19,124,462,406,49,101,20,0,7,142,38,36,14,2,68,12,4,2,0.249,0.33,0.35,0.679,0.321,86.9,-1.32,0.101,0.081,4.09,0.321,-7.6,-4.5,-8.3,-12.8,-13.6,0.040697674,24.4,45.6,8.86,9,3,0.4,-1.9,3.5
°­ÇÑ¿ï,»ï,3B,0.19,124,258,223,25,58,5,0,0,63,27,29,0,0,58,5,3,3,0.26,0.341,0.283,0.624,0.305,77.6,-0.26,0.022,0.081,3.68,0.307,-7.2,-4.4,1.3,-3,-14.6,0.057692308,24,32,5.33,2,2,-0.6,-2.5,2.7
°íÁ¾¿í,S,LF,-0.12,88,199,180,25,48,5,0,2,59,18,16,0,0,30,6,1,2,0.267,0.323,0.328,0.651,0.311,80,0,0.061,0.057,3.67,0.311,-5,-5,-2.6,-7.6,-12,0.076923077,29.5,42.2,6.67,2,3,-1,-1,2.9
±¸ÀÚ¿í,»ï,RF,5,139,610,543,107,166,30,10,22,282,88,48,6,3,98,9,1,12,0.306,0.361,0.519,0.881,0.394,134,3.48,0.214,0.056,6.8,0.392,25.3,9.7,-6.8,2.9,41.6,0.060728745,34.4,53.9,4.26,27,4,3.5,3.1,7.5
±Çµ¿Áø,K,SS,0.42,86,85,66,21,17,5,0,1,25,6,18,0,0,30,0,1,0,0.258,0.417,0.379,0.796,0.382,124.9,-0.03,0.121,0.159,6.8,0.378,2.6,-1.2,0.8,-0.4,-1.3,0.040540541,27,33.3,12.82,3,3,-0.7,-2,5.2
±ÇÈñµ¿,N,LF,1.32,55,171,133,25,35,3,0,8,62,26,29,5,1,24,4,1,3,0.263,0.406,0.466,0.872,0.4,136.7,0.63,0.203,0.143,7.45,0.396,7.7,0.8,-1.8,-1.1,8.8,0.038461538,21.8,27.8,2.78,2,0,0.3,0.1,2.7
±è°­¹Î,S,CF,0.88,122,260,223,43,53,12,1,8,91,27,25,6,1,52,3,3,3,0.238,0.327,0.408,0.735,0.336,95.1,-0.65,0.17,0.089,4.59,0.333,-1.7,2.5,0.9,3.4,-0.5,0.047169811,33,42.1,5.26,3,3,-0.8,-0.5,4.9
±è±âÈ¯,N,LF,-0.35,62,149,140,19,29,7,2,3,49,13,8,0,0,45,1,1,0,0.207,0.25,0.35,0.6,0.275,55.2,-0.39,0.143,0.043,2.38,0.273,-8.3,3.9,-1.7,2.3,-4.1,0.018518519,29.6,51.6,9.68,15,4,1.2,-1,8.5
±èµ¿¿±,»ï,LF,-0.28,69,203,185,20,44,9,0,4,65,24,10,4,0,42,2,0,4,0.238,0.286,0.351,0.637,0.297,70.2,-0.53,0.114,0.048,3.23,0.296,-7.5,0.2,-3.5,-3.2,-7.6,0.049180328,26.2,40,5.71,2,1,-0.1,-0.2,3.4
±è¹Î¼º,L,3B,0.83,121,426,360,35,80,22,0,8,126,39,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.305,80.7,-0.6,0.128,0.091,3.51,0.312,-10.3,7.6,1.5,9,-3.3,0.013245033,17.9,42.4,5.09,3,3,-0.8,0.3,2.5
±è¹Î¼ö,·Ô,2B,0.15,83,224,199,19,48,11,1,3,70,25,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.311,77.8,-1.37,0.111,0.071,3.74,0.307,-6.2,-1,-0.1,-1.1,-8.7,0.025316456,20.3,34.3,11.43,0,0,-0.1,-1.5,2.7
±è¹Î¼ö,»ï,C,0.42,47,87,76,9,20,5,0,3,34,13,6,1,0,13,2,2,2,0.263,0.318,0.447,0.765,0.339,96.7,0.16,0.184,0.054,4.6,0.336,-0.4,-0.2,1.7,1.6,-1.4,0.066666667,20,40,13.33,0,0,0,-0.8,1.7
±è¹Î½Ä,K,C,0.62,100,301,250,30,55,8,0,3,72,26,41,4,1,49,2,3,3,0.22,0.336,0.288,0.624,0.305,75.7,-0.34,0.068,0.116,3.75,0.304,-9.1,0,5.2,5.2,-11.5,0.053571429,24.1,33.8,6.76,0,0,-0.1,-2.4,2.5
±è¹ÎÇÏ,ÇÑ,RF,0.04,46,142,115,14,24,4,1,1,33,17,17,8,0,36,3,0,2,0.209,0.345,0.287,0.632,0.317,85.1,-0.49,0.078,0.136,4,0.318,-2.6,3.7,-1.6,2.2,-0.2,0.070175439,22.8,37.5,7.5,6,3,-0.2,-1.1,5
±è¹ÎÇõ,K,LF,0.87,75,198,171,22,54,6,2,1,67,13,20,2,0,27,3,5,0,0.316,0.394,0.392,0.786,0.367,115.7,0.14,0.076,0.078,6.04,0.364,3.7,0.7,-2.3,-1.6,3.5,0.068965517,24.1,29.5,6.82,6,3,-0.2,-0.8,5.5
±èº´Èñ,K,3B,1.15,34,69,51,16,15,3,0,5,33,13,13,3,0,14,0,2,0,0.294,0.463,0.647,1.11,0.476,189.8,1.1,0.353,0.169,11.46,0.476,7.6,-1.2,0.2,-1,7.4,0.027777778,30.6,41.2,0,3,0,0.6,0.4,5.1
±è»ó¼ö,»ï,2B,0.38,132,496,429,46,101,17,1,3,129,42,52,3,0,51,14,8,4,0.235,0.32,0.301,0.62,0.298,71.7,-1.26,0.065,0.084,3.3,0.298,-17.5,1.9,1.8,3.7,-16.6,0.039772727,24.4,34.6,4.67,4,2,-0.2,-0.9,3.1
±è¼±ºó,K,2B,3.42,130,564,501,55,154,32,0,5,201,67,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.366,116,3.06,0.094,0.067,5.86,0.365,10.9,-4.7,1.8,-2.9,4.4,0.030172414,21.6,34.4,3.05,0,0,-0.2,-1.6,1.4
±è¼ºÇö,S,2B,1.65,110,274,237,27,67,15,0,6,100,37,29,0,0,29,8,4,4,0.283,0.356,0.422,0.778,0.357,109.8,1.24,0.139,0.073,5.35,0.355,3.2,0.9,1.9,2.8,4,0.03539823,18.6,32.7,3.85,5,2,0,-0.1,2.8
±è¿õºó,Å°,3B,0.78,97,278,231,23,55,13,1,5,85,34,34,9,2,73,2,2,2,0.238,0.355,0.368,0.723,0.341,101.6,0.26,0.13,0.117,5.06,0.343,0.4,3.3,-1.4,1.9,0.9,0.027272727,16.4,40.7,10.17,1,1,-0.3,-2.5,3.3
±èÀÎÅÂ,µÎ,RF,1.74,133,418,344,51,89,15,1,8,130,46,62,3,0,67,10,5,4,0.259,0.373,0.378,0.751,0.355,113.3,1.54,0.119,0.114,5.5,0.361,6.7,8.8,-4.1,4.7,13,0.036363636,26.1,38.8,4.08,0,2,-1,-1.6,2.5
±èÀç¼º,L,C,-0.23,58,73,65,6,9,2,1,1,16,3,5,1,0,13,2,1,1,0.138,0.208,0.246,0.455,0.214,18.1,-0.74,0.108,0.07,0.63,0.218,-7.4,0.2,1.7,1.9,-6.8,0,31.3,55.6,0,1,0,0.2,0.2,5.1
±èÀçÀ¯,·Ô,CF,0.76,87,192,174,27,50,8,0,1,61,18,10,4,0,36,1,4,0,0.287,0.34,0.351,0.691,0.325,87.4,0.46,0.063,0.053,4.42,0.322,-3,-0.6,0.4,-0.2,-1.4,0.023809524,31,37.3,0,7,0,1.3,0.9,5.4
±èÀçÇö,Å°,C,0.03,39,51,46,2,10,7,0,0,17,8,3,0,0,12,1,2,0,0.217,0.265,0.37,0.635,0.282,58.8,-0.21,0.152,0.048,2.57,0.279,-2.6,0.2,1.2,1.4,-2.8,0.071428571,14.3,16.7,0,0,1,-0.4,0,2
±èÀçÈ£,µÎ,SS,-0.02,89,251,211,23,44,8,0,1,55,24,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,0.275,58.2,-1.73,0.052,0.098,2.56,0.278,-13,1.3,2.8,4.1,-12.1,0.056818182,25,42.6,3.7,1,1,-0.3,-0.1,2.3
±èÀçÈ¯,µÎ,LF,4.77,137,566,475,86,130,23,2,27,238,102,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,0.401,148.2,2.69,0.227,0.108,7.25,0.413,33.3,-9.7,-6.3,-16,21.4,0.029045643,24.5,30.5,3.39,2,3,-1.1,-1.2,3.3
±èÁÖ¿ø,N,SS,0.73,69,189,166,20,40,7,1,5,64,16,17,2,0,57,5,2,2,0.241,0.316,0.386,0.701,0.324,87.8,-0.58,0.145,0.075,4.06,0.322,-2.9,-0.8,2,1.2,-3.4,0.029411765,22.1,40.7,3.7,6,2,0.3,0,4.4
±èÁÖÇü,Å°,SS,0.3,36,70,50,5,9,3,0,0,12,5,4,13,0,15,0,3,0,0.18,0.388,0.24,0.628,0.324,86.2,0.13,0.06,0.208,4.69,0.32,-1.2,-3,0.9,-2.1,-3.9,0.064516129,16.1,33.3,0,1,0,0.2,0.2,3.2
±èÁØÅÂ,·Ô,C,0.37,58,149,128,17,25,5,0,4,42,15,18,1,0,40,3,0,2,0.195,0.295,0.328,0.623,0.297,69.2,-0.75,0.133,0.1,3.24,0.294,-5.7,-0.7,2.4,1.8,-5.6,0,25.5,43.5,0,0,0,0,0.8,2
±èÁöÂù,»ï,SS,0.9,120,336,296,50,81,6,0,1,90,26,27,0,0,31,0,10,3,0.274,0.331,0.304,0.635,0.3,73.4,0.08,0.03,0.058,3.51,0.301,-11.1,-1.2,3.4,2.2,-9.5,0.007142857,35,53.9,4.49,23,4,2.7,0,6.5
±èÂùÇü,N,2B,0.41,88,161,132,20,30,7,0,2,43,7,16,4,0,32,1,9,0,0.227,0.329,0.326,0.655,0.301,72.6,0.02,0.099,0.102,3.5,0.3,-5.5,0.3,0.9,1.2,-3.1,0.041666667,25,42.1,0,0,0,0,2.1,3
±èÅÂ±º,N,C,0.63,102,276,232,23,51,7,0,7,79,24,21,11,0,30,4,9,3,0.22,0.311,0.341,0.651,0.301,72.8,-0.39,0.121,0.091,3.41,0.3,-9.3,1.3,5.7,7,-9.6,0.051020408,16.3,27.6,1.72,0,1,-0.5,-1.1,2.1
±èÅÂ¿¬,ÇÑ,3B,1.91,53,220,176,29,53,12,0,3,74,34,34,5,0,44,4,0,5,0.301,0.418,0.42,0.839,0.397,138.8,1.99,0.119,0.117,7.44,0.399,10.4,1.6,-0.8,0.8,12.5,0.065420561,24.3,50,3.57,5,3,-0.4,0.8,3.3
±èÅÂÁø,K,3B,0.64,99,414,381,43,105,12,5,1,130,36,23,0,1,64,7,6,4,0.276,0.314,0.341,0.655,0.305,76,-0.62,0.066,0.038,3.51,0.305,-12.4,-0.5,1.4,1,-12.7,0.01875,26.3,42.5,2.3,8,5,-0.7,0.8,5.8
±èÅÂÈÆ,K,RF,-0.22,44,91,87,6,20,4,1,1,29,6,2,1,0,19,1,1,0,0.23,0.256,0.333,0.589,0.271,52,0.21,0.103,0.026,2.35,0.269,-5.4,-2.2,-1.3,-3.4,-6.9,0.035714286,17.9,38.5,0,1,0,0.2,0.5,4.9
±èÇå°ï,»ï,LF,1.14,118,364,317,38,89,8,2,4,113,27,34,5,0,46,9,3,5,0.281,0.355,0.356,0.711,0.338,98.1,-1.03,0.076,0.074,4.76,0.338,-1,1.9,-3.5,-1.5,1.6,0.038709677,21.9,28,0,5,4,-0.9,1.5,3.8
±èÇö¼ö,L,LF,3.31,140,595,506,70,144,23,1,17,220,97,77,3,5,42,7,0,9,0.285,0.377,0.435,0.811,0.375,128.3,3.02,0.15,0.092,6.41,0.383,20.5,-1.7,-11.3,-13,18,0.032520325,21.5,40.3,4.2,3,0,0.4,-1.2,3.5
±èÇý¼º,Å°,SS,4.73,144,634,559,99,170,20,3,3,205,66,64,1,3,97,8,0,10,0.304,0.371,0.367,0.737,0.351,106.2,0.99,0.063,0.067,5.46,0.35,4.6,-1.9,5.2,3.3,14,0.018939394,36.4,56.5,2.48,46,4,7.2,4.1,6.8
±èÈ£·É,K,CF,0.36,62,154,130,16,27,2,0,4,41,15,16,6,0,44,2,2,0,0.208,0.322,0.315,0.638,0.308,77.9,-0.97,0.108,0.115,3.7,0.307,-4.2,2.8,0.7,3.5,-0.7,0.034482759,20.7,54.8,3.23,4,1,0.3,0.5,3.6
±èÈ£Àç,»ï,1B,-0.14,87,90,75,9,17,2,0,0,19,7,9,2,0,14,0,3,1,0.227,0.322,0.253,0.575,0.28,60.2,-0.15,0.027,0.095,2.87,0.281,-4.4,-1.7,-0.6,-2.4,-6.2,0.083333333,25,32,0,0,0,0,0,3
±èÈÖÁý,Å°,3B,-0.38,34,89,70,9,9,1,0,1,13,8,13,2,0,23,0,3,1,0.129,0.279,0.186,0.465,0.238,33.6,-0.48,0.057,0.151,1.45,0.241,-7.3,-2.2,0.5,-1.8,-10.2,0,28.6,21.1,5.26,1,0,0.2,-0.8,4
³ª¼º¹ü,N,RF,3.91,144,623,570,96,160,29,1,33,290,101,38,11,2,155,5,0,4,0.281,0.336,0.509,0.844,0.38,124.1,3.13,0.228,0.055,6.19,0.377,18.3,1.5,-7.4,-5.9,22.3,0.038626609,27,35.7,0,1,2,-0.8,3.3,3.4
³ª½Â¿±,·Ô,1B,-0.21,60,128,113,16,23,2,0,2,31,10,14,0,0,33,1,0,1,0.204,0.289,0.274,0.563,0.276,55.7,-0.56,0.071,0.086,2.62,0.274,-7,-0.4,-1.1,-1.5,-6.7,0.043478261,30.4,34.6,0,1,0,0.2,0.6,3.8
³ªÁö¿Ï,K,LF,-0.24,31,102,81,3,13,1,0,0,14,7,14,6,0,29,3,0,1,0.16,0.324,0.173,0.496,0.272,53.2,-0.12,0.012,0.163,2.56,0.27,-5.9,-4.2,-1,-5.2,-9.9,0.027777778,8.3,50,0,0,0,0,0.3,0.3
³ë¼ö±¤,ÇÑ,CF,0.3,52,180,160,21,37,7,0,3,53,14,17,1,0,46,1,2,0,0.231,0.309,0.331,0.64,0.304,76.4,-0.64,0.1,0.078,3.54,0.305,-5.3,1,0,1,-3.4,0.09375,28.1,55.3,10.64,13,1,2.1,-1.3,5.7
³ë½ÃÈ¯,ÇÑ,3B,3.75,107,458,380,56,103,18,1,18,177,84,73,1,9,107,15,0,4,0.271,0.387,0.466,0.852,0.387,131.8,1.82,0.195,0.115,6.67,0.389,17.8,-3.5,-0.2,-3.7,15.5,0.043010753,20.4,48.3,4.49,5,2,0,1.3,2.6
³ëÁøÇõ,N,SS,2.9,107,384,330,41,95,22,0,8,141,58,42,5,0,90,3,4,3,0.288,0.374,0.427,0.801,0.372,120.4,0.75,0.139,0.086,6.25,0.372,9.5,2.6,3,5.6,12.8,0.032679739,21.6,29.9,0,1,1,-0.3,1,2.7
µµÅÂÈÆ,N,3B,-0.09,77,76,66,10,12,1,0,1,16,9,6,4,0,14,3,0,0,0.182,0.29,0.242,0.532,0.269,52.4,-0.57,0.061,0.108,2.32,0.269,-4.5,-1.4,0,-1.4,-5.5,0,26.5,33.3,0,1,0,0.2,0.2,2.8
¶ó¸ð½º,L,1B,0.58,51,205,185,14,45,7,1,8,78,25,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.341,107.1,-0.15,0.178,0.074,4.81,0.352,1.7,-0.1,-4,-4.1,1.2,0.03030303,9.1,30.4,8.7,0,0,0,-0.4,2.4
·Î¸Æ,S,1B,1.13,107,421,355,55,80,11,0,20,151,52,59,4,1,83,9,0,3,0.225,0.34,0.425,0.765,0.354,105.5,-0.59,0.2,0.114,5.29,0.349,2.7,3.6,-7,-3.5,4.4,0.037974684,22.2,31.8,9.09,1,0,0.1,-2,2.3
·ùÁöÇõ,K,3B,1.27,92,327,273,37,76,8,0,2,90,34,42,7,1,46,7,2,3,0.278,0.385,0.33,0.714,0.348,104.4,-0.08,0.051,0.106,5.46,0.347,1.6,-1.3,-2.1,-3.4,-0.1,0.044117647,25.7,34.8,0,0,0,-0.1,-0.3,1.9
¸¶Â÷µµ,·Ô,SS,2.55,134,539,466,83,130,21,1,5,168,58,58,4,1,65,8,4,7,0.279,0.359,0.361,0.719,0.341,98.3,-0.66,0.082,0.08,4.99,0.338,-1.3,7.2,5.5,12.7,4.7,0.023041475,35.9,53.3,5.93,8,5,-0.8,-0.4,4.5
¹®º¸°æ,L,1B,1.06,107,329,278,37,64,11,1,8,101,39,46,0,1,64,5,3,2,0.23,0.337,0.363,0.701,0.329,97.1,0.79,0.133,0.107,4.49,0.336,-1.3,8.2,-2.9,5.3,7.9,0.008,23.2,38.7,1.61,3,1,0.1,1,3.8
¹®»óÃ¶,K,DH,-0.07,53,105,95,14,20,6,0,2,32,16,8,2,0,33,1,0,0,0.211,0.286,0.337,0.623,0.295,67.8,-0.84,0.126,0.075,3.2,0.292,-4.2,-0.2,-2.1,-2.2,-3.2,0.090909091,36.4,57.1,0,2,0,0.4,0.8,4.3
¹®¼ºÁÖ,L,LF,-0.13,31,89,79,11,18,1,0,1,22,10,7,2,0,15,1,0,1,0.228,0.303,0.278,0.582,0.286,65.3,-0.68,0.051,0.076,2.92,0.288,-3.8,2.1,-0.8,1.3,-2.2,0.029411765,29.4,50,6.25,1,1,-0.3,-0.1,3.7
¹Ú°Ç¿ì,µÎ,RF,4.62,126,525,458,82,149,31,2,6,202,63,50,11,2,72,16,0,6,0.325,0.4,0.441,0.841,0.394,138.5,1.64,0.116,0.075,7.12,0.399,24.7,-1.2,-2.9,-4.1,26.7,0.046808511,32.3,49.6,4.96,13,0,2.4,0.7,4.9
¹Ú°æ¼ö,K,2B,0.1,118,280,239,24,46,10,0,9,83,33,34,3,2,76,7,4,0,0.192,0.301,0.347,0.648,0.301,72.4,-0.95,0.155,0.108,3.32,0.299,-9.6,3.5,0.7,4.2,-7.8,0.011111111,16.7,27.3,9.09,0,1,-0.5,-1.2,1.3
¹Ú°è¹ü,µÎ,SS,2.06,118,385,322,44,86,12,1,5,115,46,44,9,0,68,8,7,3,0.267,0.368,0.357,0.725,0.344,104.8,0.6,0.09,0.101,5.07,0.348,2.2,-2.4,2.7,0.3,-0.5,0.04516129,25.2,49.4,5.06,4,3,-0.6,0.4,3.4
¹Ú´ë¿Â,N,C,-0.38,42,95,85,4,18,1,0,0,19,5,4,0,0,21,0,4,2,0.212,0.242,0.224,0.465,0.216,18.3,-0.6,0.012,0.03,0.75,0.218,-9.6,-1.3,2,0.7,-11,0.041666667,16.7,25,0,0,0,0,-0.1,2.3
